iter	Logloss
0	0.6750215569
1	0.6587357431
2	0.6395372514
3	0.6221822662
4	0.6079644718
5	0.5975916247
6	0.5863567574
7	0.5721331915
8	0.5628172587
9	0.5533907173
10	0.5459981745
11	0.5361210756
12	0.5293738609
13	0.5263612807
14	0.5198641591
15	0.510457435
16	0.504815288
17	0.4983493393
18	0.4929106705
19	0.4879566188
20	0.4813916143
21	0.4793152126
22	0.4732509125
23	0.4691738165
24	0.4659970795
25	0.4622376022
26	0.4601024907
27	0.4574760383
28	0.4536273273
29	0.4512924645
30	0.4468526466
31	0.4431162386
32	0.4403978223
33	0.4374282322
34	0.435014697
35	0.4298569924
36	0.427350981
37	0.4241643311
38	0.4213753317
39	0.4191463173
40	0.4164639092
41	0.4133257247
42	0.411140836
43	0.4086316501
44	0.4070388103
45	0.4054172077
46	0.402750741
47	0.400405908
48	0.4001325671
49	0.3986554424
50	0.3967315915
51	0.3947175001
52	0.3922931239
53	0.390669397
54	0.3874385708
55	0.3844069001
56	0.3834211558
57	0.3833120739
58	0.3804958842
59	0.3783097777
60	0.3764180591
61	0.3757395926
62	0.3734961408
63	0.3722280928
64	0.3703300049
65	0.3690391166
66	0.3677955063
67	0.3657198074
68	0.3639344366
69	0.3632064419
70	0.3612372529
71	0.3593110686
72	0.358187621
73	0.3564636764
74	0.3541632261
75	0.352778406
76	0.3510253423
77	0.3495797858
78	0.3482643112
79	0.3461538548
80	0.3460003857
81	0.3451333839
82	0.343500299
83	0.3409204262
84	0.3402235269
85	0.3380879433
86	0.3368260939
87	0.3362448076
88	0.3344422644
89	0.3327435955
90	0.331874184
91	0.3315739036
92	0.3315463341
93	0.3299015212
94	0.3293666877
95	0.3276087157
96	0.3275133599
97	0.3261305016
98	0.3261304851
99	0.3252992874
100	0.3241584032
101	0.3226117652
102	0.320866804
103	0.3208456558
104	0.3193503059
105	0.3188303483
106	0.317607362
107	0.3157969288
108	0.3139652265
109	0.3121153778
110	0.3105815413
111	0.3092324284
112	0.3082318987
113	0.307658295
114	0.3069541424
115	0.3051578252
116	0.3050098446
117	0.3044881988
118	0.3033734532
119	0.3021317776
120	0.3010136108
121	0.2996122093
122	0.2996121214
123	0.299589469
124	0.298855365
125	0.2968839817
126	0.2963357012
127	0.2961075372
128	0.2942484908
129	0.2933657896
130	0.2927029621
131	0.2923370254
132	0.2909093082
133	0.2904664394
134	0.2894119027
135	0.2884416981
136	0.2877744588
137	0.2872541773
138	0.2855397628
139	0.2851766347
140	0.2845708144
141	0.2838441746
142	0.2835108838
143	0.2826854429
144	0.2811743211
145	0.2794992898
146	0.2768826442
147	0.2754453174
148	0.2741373861
149	0.2728540562
150	0.2717171833
151	0.2712346724
152	0.2708684388
153	0.2708172802
154	0.2705433493
155	0.2688809009
156	0.2688809007
157	0.2679871555
158	0.2664195023
159	0.2664146139
160	0.2644200568
161	0.2636956785
162	0.263065498
163	0.2617364355
164	0.261734119
165	0.2617206882
166	0.2615495751
167	0.2605224018
168	0.2596637362
169	0.2596165631
170	0.259593444
171	0.2587202703
172	0.2586553265
173	0.2580969908
174	0.2570679571
175	0.2570344367
176	0.2545730421
177	0.2537406332
178	0.2534096196
179	0.2533615518
180	0.2531942941
181	0.2527246928
182	0.2517380947
183	0.2516780676
184	0.2491688047
185	0.2480010176
186	0.2476159362
187	0.2468516638
188	0.2446585895
189	0.2435489069
190	0.2425122506
191	0.2419057887
192	0.2418746635
193	0.241378761
194	0.2411149424
195	0.2409692581
196	0.2392101114
197	0.2380421841
198	0.2379659498
199	0.2379215019
200	0.2378932681
201	0.2378547605
202	0.2368732789
203	0.2360140833
204	0.2340635837
205	0.2325995731
206	0.2311070653
207	0.230538193
208	0.2305157783
209	0.2299608426
210	0.229876024
211	0.2283928152
212	0.2283730638
213	0.2283399442
214	0.2278063697
215	0.2269363421
216	0.2263500841
217	0.2258909189
218	0.2248126659
219	0.2247902728
220	0.2244550323
221	0.2244317873
222	0.2239200848
223	0.2232144609
224	0.2213097186
225	0.2208203415
226	0.220679852
227	0.2205823412
228	0.2199837523
229	0.2172915365
230	0.2154104851
231	0.2151894951
232	0.2148752557
233	0.2141755784
234	0.2129056286
235	0.2126828125
236	0.2119207117
237	0.2104814914
238	0.2098307363
239	0.2097431173
240	0.2095720354
241	0.2095349405
242	0.2094695739
243	0.2089366394
244	0.2079196884
245	0.207861466
246	0.2068425457
247	0.2052743004
248	0.2044010605
249	0.2034771558
250	0.2029378115
251	0.2024230587
252	0.2023837914
253	0.2019216593
254	0.2007995338
255	0.2006260937
256	0.1998135548
257	0.1995864161
258	0.1984932258
259	0.1977739299
260	0.19692217
261	0.1968078431
262	0.1963565079
263	0.1955021995
264	0.1948219801
265	0.1945088593
266	0.1944892826
267	0.1939388051
268	0.1939320154
