iter	Passed	Remaining
0	30	30564
1	61	30706
2	103	34380
3	117	29198
4	141	28114
5	179	29708
6	212	30118
7	242	30082
8	259	28604
9	278	27536
10	314	28233
11	333	27469
12	374	28459
13	422	29779
14	476	31313
15	524	32239
16	566	32756
17	640	34944
18	695	35899
19	724	35522
20	754	35160
21	782	34792
22	812	34519
23	823	33497
24	829	32337
25	858	32159
26	887	31983
27	915	31795
28	945	31673
29	977	31620
30	1012	31634
31	1040	31469
32	1069	31327
33	1099	31248
34	1119	30876
35	1147	30714
36	1176	30616
37	1207	30579
38	1236	30462
39	1264	30344
40	1293	30250
41	1323	30180
42	1353	30132
43	1384	30079
44	1415	30044
45	1445	29987
46	1475	29923
47	1505	29857
48	1525	29608
49	1552	29505
50	1581	29434
51	1614	29430
52	1648	29453
53	1677	29383
54	1705	29309
55	1738	29311
56	1768	29252
57	1805	29329
58	1834	29263
59	1873	29343
60	1909	29399
61	1926	29147
62	1955	29085
63	1986	29046
64	2008	28887
65	2038	28843
66	2065	28769
67	2094	28700
68	2133	28784
69	2161	28710
70	2195	28732
71	2240	28881
72	2280	28952
73	2304	28842
74	2337	28828
75	2373	28856
76	2409	28885
77	2449	28952
78	2486	28993
79	2525	29041
80	2565	29108
81	2602	29139
82	2651	29296
83	2686	29294
84	2715	29236
85	2763	29367
86	2792	29302
87	2823	29258
88	2854	29220
89	2884	29161
90	2913	29101
91	2942	29041
92	2971	28983
93	3001	28930
94	3031	28876
95	3063	28849
96	3098	28843
97	3134	28850
98	3172	28873
99	3206	28859
100	3236	28807
101	3272	28807
102	3288	28635
103	3298	28419
104	3328	28373
105	3362	28360
106	3392	28309
107	3421	28255
108	3451	28216
109	3481	28171
110	3508	28101
111	3537	28049
112	3571	28032
113	3611	28069
114	3655	28130
115	3695	28161
116	3732	28172
117	3787	28309
118	3832	28370
119	3888	28515
120	3936	28599
121	3982	28659
122	4037	28784
123	4056	28655
124	4086	28602
125	4118	28570
126	4148	28519
127	4178	28464
128	4207	28408
129	4236	28354
130	4266	28301
131	4301	28286
132	4335	28261
133	4364	28207
134	4393	28152
135	4423	28100
136	4452	28046
137	4483	28007
138	4512	27952
139	4544	27915
140	4575	27877
141	4621	27922
142	4650	27868
143	4679	27817
144	4709	27769
145	4738	27716
146	4765	27654
147	4816	27729
148	4854	27724
149	4892	27723
150	4932	27732
151	4970	27730
152	5007	27719
153	5034	27659
154	5066	27623
155	5095	27569
156	5126	27525
157	5165	27527
158	5194	27476
159	5223	27422
160	5253	27375
161	5283	27328
162	5325	27348
163	5362	27335
164	5396	27311
165	5431	27286
166	5458	27229
167	5490	27190
168	5521	27149
169	5551	27102
170	5583	27066
171	5627	27092
172	5677	27140
173	5722	27167
174	5762	27165
175	5817	27236
176	5858	27238
177	5894	27219
178	5931	27207
179	5972	27206
180	6011	27201
181	6050	27192
182	6097	27222
183	6136	27212
184	6174	27201
185	6205	27158
186	6236	27112
187	6269	27077
188	6300	27035
189	6330	26987
190	6362	26949
191	6392	26899
192	6427	26877
193	6460	26840
194	6490	26792
195	6519	26742
196	6547	26690
197	6577	26642
198	6610	26609
199	6641	26567
