iter	Logloss
0	0.674002345
1	0.655556897
2	0.6490232293
3	0.6379277487
4	0.6280163699
5	0.6175889079
6	0.6092457473
7	0.6015312613
8	0.5934844763
9	0.5868458126
10	0.5803392623
11	0.5719444125
12	0.5609957085
13	0.5569236492
14	0.5506137529
15	0.5447544043
16	0.538966231
17	0.5317576728
18	0.5268971258
19	0.5220304702
20	0.5156909265
21	0.5136825991
22	0.5103975066
23	0.50516808
24	0.5034903008
25	0.4972948053
26	0.4943976326
27	0.4897792654
28	0.4856919471
29	0.4839734471
30	0.4794663356
31	0.4763061869
32	0.4722750934
33	0.4678470654
34	0.4650473496
35	0.4620248964
36	0.4586493372
37	0.4548154869
38	0.4536441374
39	0.4494501888
40	0.446213859
41	0.4429050504
42	0.4385470076
43	0.4343526161
44	0.4314149598
45	0.430205683
46	0.4268044758
47	0.4250064549
48	0.4231271116
49	0.4209508141
50	0.4172078685
51	0.4139258952
52	0.4102844857
53	0.4073063161
54	0.4053017726
55	0.4027905336
56	0.4019850567
57	0.4000665259
58	0.3991911102
59	0.3981577489
60	0.3976034746
61	0.3967839755
62	0.3937745744
63	0.392539564
64	0.3914343071
65	0.3903246582
66	0.3897088616
67	0.3868393442
68	0.3849738303
69	0.383675254
70	0.3824932705
71	0.3804839138
72	0.3777728026
73	0.377385003
74	0.3756216958
75	0.3754626794
76	0.3745960781
77	0.3742246407
78	0.3728784809
79	0.3719837438
80	0.3706467143
81	0.3685189445
82	0.3673289709
83	0.3653388916
84	0.3641316267
85	0.3628141171
86	0.3625674086
87	0.3612358495
88	0.360313024
89	0.3588183433
90	0.3580944987
91	0.3558524623
92	0.355851874
93	0.3542581899
94	0.3520039917
95	0.3507011936
96	0.3496545927
97	0.3495781478
98	0.3493382223
99	0.3473848898
100	0.3465040025
101	0.3464684832
102	0.3449811524
103	0.3423164754
104	0.3414565852
105	0.3411406734
106	0.3395184587
107	0.3388398333
108	0.3380853287
109	0.336513163
110	0.3355918583
111	0.3329013436
112	0.3314324095
113	0.3302952092
114	0.3284447471
115	0.3266934589
116	0.3235479738
117	0.3216512203
118	0.3202190197
119	0.3186588782
120	0.3173194265
121	0.3155908461
122	0.3138823661
123	0.3128599477
124	0.3112279862
125	0.3098936496
126	0.3092653451
127	0.3070745479
128	0.3063061202
129	0.3055572409
130	0.3035666327
131	0.3022578206
132	0.2987283018
133	0.2975389806
134	0.2969043093
135	0.2941161046
136	0.2930053839
137	0.292971071
138	0.2921191617
139	0.2913768701
140	0.290232611
141	0.2894878009
142	0.2894553192
143	0.2881400025
144	0.2866873825
145	0.2863480015
146	0.2848131789
147	0.2828636724
148	0.2817171551
149	0.2809408105
150	0.2789532079
151	0.2780112762
152	0.2772973473
153	0.2765782019
154	0.2747196748
155	0.2734931577
156	0.2718704253
157	0.2711761024
158	0.2703867075
159	0.2694626654
160	0.2681024841
161	0.2669991298
162	0.2654611624
163	0.2644841977
164	0.2633474932
165	0.2627381977
166	0.2616202121
167	0.2614766281
168	0.260706767
169	0.2595771567
170	0.2593133379
171	0.257735135
172	0.2569921482
173	0.2568697275
174	0.2559563066
175	0.2550160945
176	0.2534390039
177	0.2521149107
178	0.2512025741
179	0.2505455836
180	0.248657831
181	0.2472668743
182	0.246322323
183	0.2455221401
184	0.2446255487
185	0.2434687589
186	0.242909912
187	0.2417150069
188	0.2406768737
189	0.2404924229
190	0.239841239
191	0.2378792997
192	0.2364960389
193	0.23513576
194	0.2339871565
195	0.2321542342
196	0.2310577734
197	0.2309444046
198	0.2305723753
199	0.2300478354
200	0.2295298981
201	0.2283032125
202	0.2264489179
203	0.2252067726
204	0.2247509306
205	0.223768742
206	0.2236462722
207	0.2227368619
208	0.2214183453
209	0.2213261232
210	0.2204728721
211	0.2190672457
212	0.2177987125
213	0.2168334515
214	0.2162179906
215	0.215062618
216	0.2140213142
217	0.2128731056
218	0.2123804704
219	0.2122740855
220	0.2112921654
221	0.2104548109
222	0.2099403101
223	0.2092194994
224	0.2076576651
225	0.2075575951
226	0.2065497173
227	0.2058029152
228	0.2053366714
229	0.2044273127
230	0.2027868795
231	0.2020959353
232	0.2014259661
233	0.2007091027
234	0.2005618968
235	0.2000051736
236	0.1992381518
237	0.1982880465
238	0.1971293214
239	0.1963289893
240	0.1956314879
241	0.194759846
242	0.1941162959
243	0.1940690518
