iter	Passed	Remaining
0	19	19830
1	42	21254
2	47	15803
3	73	18179
4	83	16525
5	102	17060
6	113	16066
7	125	15544
8	144	15965
9	155	15365
10	169	15199
11	188	15525
12	208	15810
13	227	16022
14	245	16122
15	265	16297
16	283	16418
17	304	16626
18	325	16804
19	345	16911
20	364	17008
21	375	16674
22	394	16747
23	414	16864
24	436	17032
25	456	17115
26	480	17313
27	501	17405
28	521	17461
29	546	17661
30	567	17748
31	589	17824
32	611	17924
33	678	19264
34	703	19390
35	722	19354
36	742	19319
37	761	19287
38	774	19084
39	792	19027
40	812	19014
41	833	19008
42	851	18961
43	871	18945
44	891	18926
45	910	18884
46	932	18902
47	954	18926
48	974	18917
49	995	18923
50	1017	18934
51	1035	18874
52	1054	18835
53	1074	18821
54	1094	18809
55	1113	18775
56	1133	18753
57	1152	18717
58	1172	18695
59	1197	18755
60	1218	18752
61	1237	18719
62	1258	18715
63	1277	18688
64	1298	18671
65	1317	18650
66	1333	18571
67	1355	18576
68	1378	18599
69	1401	18623
70	1421	18597
71	1440	18568
72	1461	18559
73	1480	18530
74	1501	18514
75	1516	18442
76	1536	18416
77	1550	18323
78	1568	18289
79	1588	18269
80	1610	18275
81	1635	18307
82	1661	18355
83	1749	19078
84	1775	19114
85	1801	19145
86	1811	19015
87	1837	19047
88	1863	19070
89	1891	19128
90	1918	19164
91	1949	19236
92	1955	19075
93	1981	19097
94	2018	19225
95	2069	19490
96	2117	19713
97	2142	19721
98	2159	19656
99	2210	19893
100	2278	20278
101	2316	20392
102	2388	20803
103	2441	21034
104	2491	21235
105	2522	21276
106	2559	21360
107	2594	21425
108	2630	21499
109	2668	21586
110	2706	21673
111	2769	21958
112	2803	22002
113	2830	22000
114	2859	22005
115	2882	21963
116	2902	21904
117	2927	21879
118	2947	21818
119	2970	21781
120	2992	21742
121	3012	21683
122	3033	21626
123	3062	21632
124	3095	21670
125	3118	21628
126	3139	21580
127	3164	21556
128	3182	21489
129	3200	21417
130	3227	21407
131	3277	21549
132	3324	21672
133	3366	21758
134	3390	21727
135	3413	21685
136	3434	21634
137	3446	21525
138	3465	21467
139	3490	21441
140	3515	21418
141	3547	21434
142	3563	21358
143	3587	21324
144	3611	21293
145	3637	21276
146	3675	21325
147	3710	21357
148	3742	21376
149	3773	21383
150	3946	22191
151	3965	22124
152	3983	22051
153	4002	21986
154	4021	21922
155	4042	21868
156	4073	21871
157	4092	21808
158	4112	21752
159	4134	21704
160	4155	21653
161	4174	21594
162	4195	21543
163	4217	21496
164	4237	21445
165	4257	21388
166	4279	21345
167	4297	21284
168	4317	21229
169	4339	21185
170	4362	21151
171	4389	21133
172	4419	21127
173	4450	21126
174	4478	21110
175	4505	21091
176	4541	21115
177	4569	21103
178	4590	21054
179	4610	21001
180	4631	20955
181	4652	20909
182	4672	20858
183	4691	20804
184	4710	20751
185	4729	20699
186	4749	20650
187	4772	20612
188	4794	20574
189	4816	20533
190	4836	20485
191	4856	20438
192	4877	20395
193	4897	20346
194	4919	20310
195	4982	20437
196	5009	20419
197	5031	20378
198	5051	20331
199	5075	20303
200	5094	20251
201	5115	20209
202	5135	20161
203	5156	20119
204	5179	20085
205	5203	20055
206	5226	20022
207	5251	19996
208	5276	19969
209	5299	19934
210	5324	19909
211	5349	19884
212	5373	19854
213	5397	19822
214	5423	19800
215	5455	19802
216	5487	19800
217	5512	19773
218	5534	19738
219	5555	19696
220	5577	19661
221	5601	19629
222	5621	19588
223	5640	19539
224	5659	19495
225	5689	19484
226	5718	19473
227	5747	19461
228	5779	19457
229	5816	19473
230	5854	19490
231	5895	19515
232	5941	19557
233	5982	19582
234	6062	19736
235	6100	19750
236	6132	19744
237	6163	19733
238	6192	19718
239	6216	19685
240	6236	19640
241	6256	19596
242	6277	19554
243	6296	19510
