iter	Passed	Remaining
0	7	7309
1	14	7351
2	25	8502
3	37	9434
4	51	10190
5	75	12531
6	90	12845
7	241	29918
8	343	37809
9	362	35921
10	380	34201
11	398	32820
12	416	31624
13	432	30459
14	447	29400
15	462	28459
16	478	27673
17	497	27167
18	514	26565
19	530	25996
20	545	25441
21	561	24958
22	575	24452
23	587	23883
24	597	23302
25	608	22781
26	618	22272
27	627	21791
28	637	21338
29	646	20905
30	655	20476
31	663	20060
32	671	19669
33	678	19286
34	686	18929
35	693	18583
36	701	18250
37	708	17929
38	715	17642
39	723	17369
40	731	17104
41	738	16852
42	746	16618
43	755	16405
44	762	16190
45	771	15990
46	780	15830
47	789	15663
48	798	15501
49	808	15352
50	817	15220
51	827	15084
52	837	14965
53	848	14858
54	858	14748
55	868	14639
56	879	14546
57	889	14438
58	897	14319
59	906	14200
60	914	14073
61	922	13955
62	930	13846
63	938	13729
64	946	13612
65	955	13528
66	967	13475
67	978	13409
68	989	13347
69	1001	13300
70	1012	13249
71	1024	13208
72	1038	13181
73	1043	13063
74	1053	12997
75	1062	12923
76	1072	12853
77	1080	12777
78	1089	12705
79	1099	12639
80	1108	12577
81	1118	12517
82	1127	12459
83	1137	12403
84	1146	12345
85	1156	12291
86	1166	12239
87	1176	12191
88	1185	12131
89	1193	12067
90	1200	11993
91	1223	12071
92	1241	12103
93	1252	12071
94	1263	12033
95	1275	12006
96	1286	11973
97	1296	11931
98	1307	11896
99	1317	11859
100	1328	11824
101	1338	11786
102	1349	11755
103	1478	12742
104	1614	13757
105	1691	14264
106	1705	14230
107	1720	14206
108	1737	14199
109	1751	14175
110	1766	14150
111	1785	14155
112	1799	14124
113	1812	14088
114	1827	14064
115	1840	14029
116	1853	13990
117	1867	13957
118	1881	13930
119	1894	13893
120	1904	13836
121	1912	13765
122	1920	13693
123	1928	13620
124	1935	13550
125	1944	13488
126	1953	13425
127	1961	13364
128	1969	13297
129	1976	13230
130	1984	13163
131	1992	13104
132	2002	13053
133	2011	12996
134	2019	12937
135	2026	12876
136	2034	12818
137	2042	12758
138	2050	12698
139	2057	12641
140	2066	12587
141	2073	12530
142	2081	12474
143	2088	12415
144	2096	12360
145	2103	12306
146	2111	12252
147	2119	12199
148	2126	12147
149	2134	12097
150	2142	12046
151	2151	12005
152	2162	11970
153	2171	11930
154	2179	11882
155	2187	11833
156	2195	11790
157	2208	11771
158	2221	11751
159	2238	11752
160	2251	11732
161	2262	11705
162	2275	11682
163	2288	11663
164	2299	11637
165	2312	11618
166	2323	11591
167	2333	11554
168	2342	11518
169	2350	11477
170	2359	11437
171	2368	11401
172	2376	11359
173	2385	11323
174	2393	11285
175	2401	11243
176	2409	11201
177	2417	11162
178	2425	11123
179	2437	11106
180	2448	11079
181	2457	11043
182	2464	11003
183	2472	10963
184	2479	10924
185	2487	10887
186	2495	10847
187	2502	10809
188	2510	10772
189	2518	10735
190	2526	10699
191	2534	10665
192	2542	10631
193	2550	10597
194	2558	10561
195	2565	10524
196	2573	10489
197	2581	10456
198	2589	10423
199	2597	10389
200	2605	10356
201	2612	10322
202	2620	10288
203	2628	10255
204	2635	10222
205	2645	10195
206	2653	10163
207	2661	10132
208	2670	10106
209	2678	10077
210	2687	10050
211	2703	10049
212	2889	10677
213	2997	11010
214	3010	10991
215	3021	10967
216	3034	10949
217	3048	10934
218	3060	10914
219	3071	10889
220	3081	10861
221	3092	10835
222	3102	10808
223	3116	10795
224	3128	10777
225	3139	10750
226	3150	10729
227	3162	10706
228	3171	10678
229	3179	10646
230	3187	10612
231	3195	10577
232	3203	10544
233	3214	10522
234	3224	10496
235	3231	10462
236	3239	10428
237	3246	10395
238	3254	10362
239	3262	10330
240	3270	10299
241	3278	10268
242	3286	10237
243	3294	10208
244	3303	10178
245	3310	10147
246	3318	10117
247	3326	10086
248	3335	10058
249	3342	10027
250	3349	9996
251	3357	9964
252	3364	9933
253	3372	9903
254	3380	9874
255	3388	9846
256	3396	9818
257	3403	9789
258	3412	9762
259	3420	9734
260	3427	9705
261	3435	9676
262	3443	9650
263	3452	9624
264	3462	9602
265	3470	9577
266	3478	9549
267	3486	9522
268	3494	9496
269	3503	9472
270	3511	9445
271	3519	9418
272	3526	9391
273	3535	9368
274	3550	9360
275	3565	9352
276	3579	9343
277	3595	9336
278	3611	9332
279	3626	9324
280	3641	9317
281	3657	9313
282	3671	9302
283	3685	9290
284	3697	9276
285	3709	9260
286	3720	9242
287	3732	9228
288	3746	9217
289	3758	9201
290	3769	9184
291	3779	9165
292	3792	9150
293	3805	9138
294	3819	9127
295	3833	9118
296	3847	9106
297	3863	9101
298	3875	9087
299	3888	9073
300	3901	9061
301	3914	9047
302	3926	9032
303	3940	9021
304	3958	9019
305	3973	9011
306	3988	9003
307	4010	9011
308	4223	9445
309	4334	9648
310	4353	9644
311	4365	9626
312	4376	9606
313	4388	9586
314	4399	9567
315	4410	9547
316	4426	9536
317	4437	9516
318	4448	9497
319	4458	9474
320	4468	9452
321	4477	9427
322	4485	9400
323	4492	9372
324	4499	9345
325	4507	9320
326	4516	9295
327	4524	9268
328	4532	9244
329	4540	9218
330	4548	9193
331	4556	9167
332	4563	9140
333	4571	9115
334	4578	9089
335	4586	9062
336	4593	9036
337	4603	9016
338	4613	8995
339	4621	8971
340	4629	8946
341	4636	8920
342	4645	8897
343	4653	8874
344	4661	8850
345	4669	8826
346	4677	8802
347	4685	8778
348	4692	8753
349	4700	8730
350	4708	8706
351	4716	8682
352	4723	8657
353	4731	8635
354	4739	8611
355	4747	8588
356	4755	8564
357	4762	8541
358	4770	8517
359	4778	8494
360	4785	8471
361	4793	8448
362	4801	8425
363	4809	8402
364	4817	8380
365	4825	8358
366	4832	8335
367	4840	8313
368	4848	8291
369	4856	8269
370	4865	8249
371	4876	8232
372	4887	8216
373	4898	8199
374	4909	8183
375	4922	8168
376	4935	8156
377	4948	8142
378	4957	8123
379	4965	8101
380	4973	8079
381	4980	8057
382	4987	8035
383	4995	8013
384	5003	7992
