iter	Passed	Remaining
0	33	33917
1	71	35857
2	108	36143
3	156	38858
4	190	37941
5	208	34573
6	245	34859
7	270	33564
8	299	32982
9	337	33375
10	357	32116
11	396	32656
12	440	33465
13	474	33420
14	514	33785
15	544	33500
16	581	33640
17	616	33610
18	646	33375
19	677	33216
20	685	31946
21	692	30780
22	725	30836
23	762	31028
24	796	31058
25	831	31133
26	864	31152
27	894	31037
28	923	30919
29	938	30333
30	967	30232
31	1027	31067
32	1058	31023
33	1096	31149
34	1118	30833
35	1160	31084
36	1206	31391
37	1246	31545
38	1260	31057
39	1296	31119
40	1332	31157
41	1368	31207
42	1396	31069
43	1435	31191
44	1483	31474
45	1528	31691
46	1567	31776
47	1604	31822
48	1641	31865
49	1674	31819
50	1705	31728
51	1735	31637
52	1764	31528
53	1774	31087
54	1802	30971
55	1812	30550
56	1841	30464
57	1872	30407
58	1909	30457
59	1949	30537
60	1984	30541
61	2033	30762
62	2074	30854
63	2104	30777
64	2132	30675
65	2162	30603
66	2198	30610
67	2215	30370
68	2243	30274
69	2273	30203
70	2303	30136
71	2338	30139
72	2363	30019
73	2398	30017
74	2431	29987
75	2450	29787
76	2483	29769
77	2513	29707
78	2542	29635
79	2569	29552
80	2598	29484
81	2627	29414
82	2655	29334
83	2683	29267
84	2713	29207
85	2743	29155
86	2771	29085
87	2802	29043
88	2831	28983
89	2860	28919
90	2887	28838
91	2916	28781
92	2943	28704
93	2972	28653
94	3001	28592
95	3030	28539
96	3088	28749
97	3119	28710
98	3149	28660
99	3161	28449
100	3192	28412
101	3224	28388
102	3289	28643
103	3328	28672
104	3365	28683
105	3403	28701
106	3442	28730
107	3477	28721
108	3520	28780
109	3568	28872
110	3605	28879
111	3644	28896
112	3683	28913
113	3717	28896
114	3748	28843
115	3776	28776
116	3804	28711
117	3833	28654
118	3862	28598
119	3891	28538
120	3922	28492
121	3949	28423
122	3979	28376
123	3991	28197
124	4019	28135
125	4049	28089
126	4080	28049
127	4139	28197
128	4169	28153
129	4202	28127
130	4233	28080
131	4262	28032
132	4292	27980
133	4319	27914
134	4348	27859
135	4377	27810
136	4392	27671
137	4423	27628
138	4453	27588
139	4483	27544
140	4512	27489
141	4542	27448
142	4581	27455
143	4615	27439
144	4645	27393
145	4664	27282
146	4700	27278
147	4740	27287
148	4777	27284
149	4812	27272
150	4848	27260
151	4884	27249
152	4932	27306
153	4971	27309
154	5012	27328
155	5050	27322
156	5086	27311
157	5124	27306
158	5188	27445
159	5221	27412
160	5250	27359
161	5279	27307
162	5311	27272
163	5340	27224
164	5369	27175
165	5435	27306
166	5464	27258
167	5495	27213
168	5524	27163
169	5559	27142
170	5592	27114
171	5643	27167
172	5673	27121
173	5702	27072
174	5734	27031
175	5766	26996
176	5795	26948
177	5825	26903
178	5856	26861
179	5888	26826
180	5919	26783
181	5949	26740
182	5983	26711
183	6013	26666
184	6041	26614
185	6071	26569
186	6100	26522
187	6130	26476
188	6160	26433
189	6224	26535
190	6254	26491
191	6283	26442
192	6313	26397
193	6343	26356
194	6373	26309
195	6402	26262
196	6434	26228
197	6469	26203
