iter	Logloss
0	0.6741769255
1	0.6595779773
2	0.6484674747
3	0.6337588658
4	0.6204434115
5	0.6060345912
6	0.5920030564
7	0.5825107282
8	0.5719027372
9	0.5608312962
10	0.5552492529
11	0.5493953768
12	0.540444104
13	0.533156521
14	0.5263480633
15	0.5204765212
16	0.512040616
17	0.5065567904
18	0.5019828789
19	0.4991959385
20	0.4933655372
21	0.4879696136
22	0.483570205
23	0.4785528893
24	0.4740691609
25	0.4704544054
26	0.4680694728
27	0.4636841766
28	0.4593228442
29	0.4570800593
30	0.4534961238
31	0.4523491301
32	0.4482119912
33	0.4448764399
34	0.4400042474
35	0.4376262584
36	0.4330029978
37	0.4306017665
38	0.4282099709
39	0.4256010303
40	0.4227096412
41	0.4215936238
42	0.4194655196
43	0.4171076072
44	0.4140434144
45	0.4109128832
46	0.4088273297
47	0.4058669944
48	0.4030399274
49	0.4014254126
50	0.3974592728
51	0.3956497612
52	0.393782478
53	0.3928830277
54	0.3899941704
55	0.3858401652
56	0.3824589097
57	0.379616389
58	0.3772976499
59	0.3755526725
60	0.3723878801
61	0.3705290302
62	0.368495485
63	0.3678728551
64	0.3652744563
65	0.3652249698
66	0.363312934
67	0.3610531319
68	0.3607906423
69	0.359602239
70	0.3571870728
71	0.356121906
72	0.355245149
73	0.3538504154
74	0.3514244616
75	0.3495897895
76	0.3483311219
77	0.3469409977
78	0.345274276
79	0.3433160638
80	0.3427563137
81	0.339929202
82	0.3388923462
83	0.338054703
84	0.3371912478
85	0.3350545623
86	0.3323390512
87	0.3310181488
88	0.3306959162
89	0.3297447778
90	0.3278317044
91	0.3278003885
92	0.3269959755
93	0.3260177601
94	0.3236532547
95	0.3229729594
96	0.3224232453
97	0.320670614
98	0.319823824
99	0.3198175037
100	0.3181141307
101	0.3177129155
102	0.3166826576
103	0.3160677891
104	0.3155317897
105	0.3138951891
106	0.3125461329
107	0.3116941066
108	0.3111483642
109	0.3091606363
110	0.3068988448
111	0.3053960633
112	0.3051073108
113	0.3038626953
114	0.3033717471
115	0.3016862793
116	0.3003814362
117	0.2983735476
118	0.2976374192
119	0.2965047484
120	0.2952326451
121	0.2933231853
122	0.2926011749
123	0.2897992784
124	0.2889554425
125	0.2879247599
126	0.2867620172
127	0.2865567757
128	0.2859723059
129	0.2854012293
130	0.283750953
131	0.2819767499
132	0.2814951461
133	0.2802321025
134	0.2796452102
135	0.2780312917
136	0.2768410388
137	0.2765706628
138	0.2761180161
139	0.2760840158
140	0.2749802002
141	0.274364381
142	0.2730573915
143	0.2716333664
144	0.2708807627
145	0.2704957418
146	0.2702946573
147	0.2699334136
148	0.2688944444
149	0.2680581549
150	0.2668153988
151	0.2647091011
152	0.2625446249
153	0.2611143098
154	0.2599508663
155	0.2599508656
156	0.2589031489
157	0.2585101662
158	0.257214901
159	0.2564798807
160	0.2560211138
161	0.2541394142
162	0.2535285975
163	0.2517827425
164	0.2509919157
165	0.2508002195
166	0.2499955533
167	0.2495077258
168	0.2492882129
169	0.2490464459
170	0.2473402921
171	0.246662749
172	0.24626959
173	0.2461826972
174	0.2444291908
175	0.2437780982
176	0.2433951022
177	0.2425421008
178	0.2409787248
179	0.2401445044
180	0.2394446875
181	0.239325035
182	0.2387773151
183	0.2383451224
184	0.2380117725
185	0.2379192878
186	0.2377167325
187	0.2352913613
188	0.2349328843
189	0.2335754959
190	0.2324743248
191	0.2324008507
192	0.2322515798
193	0.2316052886
194	0.2309911122
195	0.2304898763
196	0.2293733713
197	0.2288670196
198	0.2277567646
199	0.2263861852
200	0.2262952361
201	0.2257854894
202	0.2244160647
203	0.2236573367
204	0.2232411068
205	0.2229494028
206	0.2226615909
207	0.2221929129
208	0.2211622202
209	0.2201380863
210	0.2190435931
211	0.2186941665
212	0.2181987372
213	0.2172930905
214	0.2168394849
215	0.2167095994
216	0.2160444175
217	0.2156778411
218	0.2142194469
219	0.2126479802
220	0.2121011059
221	0.2119800683
222	0.2110362684
223	0.2100909717
224	0.2098921182
225	0.2090635371
226	0.2081809728
227	0.2079724187
228	0.2075559119
229	0.2070659472
230	0.2063197297
231	0.2055569907
232	0.204434459
233	0.2043433525
234	0.2036103804
235	0.2032094126
236	0.2030448122
237	0.2029901053
238	0.2019787014
239	0.2014487853
240	0.2010905661
241	0.2000997354
242	0.199507427
243	0.1993508504
244	0.1987738577
245	0.1986866449
246	0.1984217402
247	0.1978007474
248	0.1968348378
249	0.1962453346
250	0.1956591871
251	0.195532059
252	0.1948320894
253	0.1933666441
254	0.1930356343
255	0.1928787057
256	0.1924222007
257	0.1912325708
258	0.1900427214
259	0.1893848287
260	0.1886867995
261	0.1882211559
262	0.1872266365
263	0.1869025018
264	0.1865901963
265	0.1860343854
266	0.1858437042
267	0.1856195041
268	0.1852100978
269	0.1847710743
270	0.1843432648
271	0.1839540387
272	0.1836609596
273	0.1830925206
274	0.1826486973
275	0.182412453
276	0.181814402
277	0.181468669
278	0.1806611387
279	0.1803720024
280	0.1796461888
281	0.1789814224
282	0.1777608866
283	0.1774451031
284	0.1758899319
285	0.175505197
286	0.1752956315
287	0.174595
288	0.1740322503
289	0.173723235
290	0.1733627703
291	0.1730323855
292	0.1725141142
293	0.1720476243
294	0.1718911211
295	0.1718784343
296	0.1712602002
297	0.1712504266
298	0.1703286709
299	0.1701696366
300	0.1700231619
301	0.1699855509
302	0.1692499664
303	0.1680688231
304	0.1674272578
305	0.1673214431
306	0.1670337459
307	0.1664274413
308	0.1661157803
309	0.1649842737
310	0.1647907316
311	0.164209642
312	0.1634775353
313	0.1633538047
314	0.1625338914
315	0.1623872569
316	0.1616273024
317	0.1610257903
318	0.1604995139
319	0.1600479671
320	0.1595477927
321	0.1594698872
322	0.1594230346
323	0.1593039993
324	0.1586490892
325	0.1577355574
326	0.1571971775
327	0.1571645167
328	0.1566612356
329	0.1556275999
330	0.155255797
331	0.1547545601
332	0.1540013784
333	0.1539707484
334	0.1535694451
335	0.1527541282
336	0.152180965
337	0.1519836409
338	0.1518606686
339	0.1514209601
340	0.1512012677
341	0.1510319048
342	0.1507990925
343	0.1507592371
344	0.1503491191
345	0.1501341832
346	0.1498820558
347	0.1498166953
348	0.1495447131
349	0.149223937
350	0.1485409701
351	0.1484368434
352	0.1481163379
353	0.1473753992
354	0.1471129761
355	0.1463903035
356	0.1460373327
357	0.1452639108
358	0.1452165238
359	0.1451692434
360	0.1443889017
361	0.1440460708
362	0.1439527072
363	0.1436991478
364	0.1436333912
365	0.1433787988
366	0.1430302376
367	0.142682464
368	0.1424988904
369	0.1420046581
370	0.1416860341
371	0.1411960834
372	0.1407449857
373	0.1405276608
374	0.1399412306
375	0.139300441
376	0.1391507685
377	0.1389298769
378	0.1382577466
379	0.1379612228
380	0.137679436
381	0.1375370855
382	0.1372288951
383	0.1368934621
384	0.1357507796
385	0.13538974
386	0.1353219357
387	0.1349526564
388	0.1348025571
389	0.1346821168
390	0.1340812
391	0.1333893928
392	0.1332754662
393	0.1330283023
394	0.1328364317
395	0.1323085106
396	0.1321123367
397	0.1318970431
398	0.1317593271
399	0.1314894374
400	0.1313510065
401	0.1302921786
402	0.1302604015
403	0.1301420907
404	0.1297414694
405	0.1296845329
406	0.1292162375
407	0.1290069392
408	0.1287921462
409	0.1285361575
410	0.1284184528
411	0.1280090421
412	0.1271366694
413	0.1265659066
414	0.1264211039
415	0.1255785761
416	0.1255421475
417	0.1254130376
418	0.1253150194
419	0.125115371
420	0.1247077574
421	0.1246478272
422	0.1244008409
423	0.1242854462
424	0.1237838025
425	0.1236084809
426	0.1234484724
427	0.123191656
428	0.1229984071
429	0.1226502933
430	0.1224213168
431	0.122133517
432	0.1214167382
433	0.1208810883
434	0.1208226041
435	0.1208014821
436	0.1204877006
437	0.1202962819
438	0.1197438895
439	0.119263082
440	0.118481026
441	0.1177731522
442	0.1173959791
443	0.1168789811
444	0.1165939201
445	0.11646602
446	0.1163983544
447	0.1163470277
448	0.1155661522
449	0.1148075314
450	0.1146333681
451	0.113940874
452	0.1137558197
453	0.1137305831
454	0.1137218463
455	0.1137126482
456	0.1134472731
457	0.1131167178
458	0.1127365063
459	0.1123817549
460	0.112263312
461	0.1118526838
462	0.1115080902
463	0.1114426179
464	0.1112156404
465	0.1105292951
466	0.110153794
467	0.1094594601
468	0.1093259489
469	0.108794652
470	0.1083541414
471	0.1081065022
472	0.1076322191
473	0.1072122435
474	0.1066650578
475	0.1066386247
476	0.1058763836
477	0.1055797573
478	0.1054099477
479	0.1048216988
480	0.104647955
481	0.1044368415
482	0.1043704807
483	0.1036603595
484	0.1036417525
485	0.103508549
486	0.1034662742
487	0.1032868076
488	0.1031815692
489	0.1030251579
490	0.1028215755
491	0.1026318413
492	0.1025661461
493	0.102221204
494	0.1021409999
495	0.1018842797
496	0.1009113421
497	0.1006579043
498	0.1004315156
499	0.09951746983
500	0.09937846718
501	0.09936826221
502	0.099189852
503	0.09907602991
504	0.09889088593
505	0.09872364647
506	0.09829170051
507	0.09804659316
508	0.09761338006
509	0.0973421918
510	0.09707748767
511	0.09663326147
512	0.09658406467
513	0.09637335628
514	0.09586309391
515	0.09561262794
516	0.09527893253
