iter	Logloss
0	0.6749885304
1	0.6609662283
2	0.6463997863
3	0.6344696207
4	0.621428311
5	0.6145553519
6	0.6034319335
7	0.5920262143
8	0.5823793673
9	0.5692930694
10	0.5610269927
11	0.5489998326
12	0.5401653598
13	0.5320419144
14	0.530443598
15	0.5228429336
16	0.5153727868
17	0.5074906818
18	0.4981875023
19	0.4945945468
20	0.4883931521
21	0.4848220617
22	0.479142871
23	0.4739946736
24	0.470320104
25	0.4673751266
26	0.4640486283
27	0.4599817076
28	0.458833942
29	0.4547317134
30	0.4500759106
31	0.4476819686
32	0.4447358802
33	0.4421097151
34	0.4375537277
35	0.43466104
36	0.4310434578
37	0.427204102
38	0.426791055
39	0.4221972058
40	0.4190020461
41	0.4169027556
42	0.4148448726
43	0.4107958202
44	0.4090021976
45	0.4045264129
46	0.401758
47	0.3993077779
48	0.3962897114
49	0.3941015865
50	0.3912549104
51	0.3898197625
52	0.38667281
53	0.385160341
54	0.3831358487
55	0.3820295013
56	0.3805181806
57	0.3791792319
58	0.3769285795
59	0.3744203936
60	0.3741840506
61	0.3726450114
62	0.3717392529
63	0.3708704523
64	0.3683159428
65	0.3653482917
66	0.3632987647
67	0.3631129123
68	0.3616453529
69	0.3601373273
70	0.3579466177
71	0.3567764817
72	0.3549702766
73	0.3532923836
74	0.3504981319
75	0.3492118111
76	0.3479981595
77	0.3462608255
78	0.3444481881
79	0.3432344108
80	0.341306262
81	0.3394958351
82	0.3389558573
83	0.3387133999
84	0.33727397
85	0.3361262723
86	0.3340663445
87	0.3325209163
88	0.3304925384
89	0.3294538136
90	0.3276609544
91	0.326565719
92	0.3255539738
93	0.3231508486
94	0.3222838214
95	0.3208052639
96	0.3194492325
97	0.3188427382
98	0.3169119579
99	0.3149768474
100	0.314005988
101	0.312905227
102	0.3112946489
103	0.3103799911
104	0.3099395224
105	0.3088106399
106	0.3081532479
107	0.3080327591
108	0.3066463128
109	0.3051931725
110	0.3033850141
111	0.3013119562
112	0.3007908323
113	0.2997097283
114	0.2993607657
115	0.2980625242
116	0.297514336
117	0.2958328624
118	0.2951112417
119	0.2945262142
120	0.2944177495
121	0.2935869217
122	0.2920338355
123	0.2908898689
124	0.2890139928
125	0.2887530021
126	0.2876450981
127	0.2865104655
128	0.2862518107
129	0.2843417598
130	0.2833616151
131	0.2821809656
132	0.2815589491
133	0.2808862161
134	0.2785940185
135	0.277964685
136	0.2768374572
137	0.2753305747
138	0.2746664424
139	0.2732536095
140	0.2727078763
141	0.2711811356
142	0.2701381072
143	0.2694498492
144	0.2689509184
145	0.2684197792
146	0.2677549896
147	0.2666386621
148	0.2654293186
149	0.2644456891
150	0.2641195301
151	0.2625563569
152	0.2616023059
