iter	Passed	Remaining
0	29	29882
1	64	32151
2	104	34581
3	123	30690
4	170	33907
5	202	33587
6	226	32159
7	256	31843
8	289	31842
9	296	29372
10	312	28059
11	341	28111
12	371	28176
13	385	27183
14	396	26027
15	424	26113
16	463	26816
17	492	26878
18	500	25819
19	528	25908
20	543	25342
21	572	25432
22	599	25469
23	630	25639
24	661	25808
25	691	25909
26	722	26020
27	729	25312
28	748	25052
29	777	25131
30	824	25773
31	859	26000
32	887	26006
33	931	26474
34	974	26881
35	995	26650
36	1038	27020
37	1081	27386
38	1131	27871
39	1183	28407
40	1235	28899
41	1280	29203
42	1325	29498
43	1365	29675
44	1408	29901
45	1451	30101
46	1490	30217
47	1526	30281
48	1561	30303
49	1582	30074
50	1615	30052
51	1653	30152
52	1694	30282
53	1728	30288
54	1770	30412
55	1809	30497
56	1861	30795
57	1914	31091
58	1953	31162
59	1984	31095
60	2020	31098
61	2059	31161
62	2097	31190
63	2134	31219
64	2183	31403
65	2219	31415
66	2235	31137
67	2262	31013
68	2293	30944
69	2325	30892
70	2357	30844
71	2386	30762
72	2425	30803
73	2469	30907
74	2512	30992
75	2526	30712
76	2560	30690
77	2596	30695
78	2632	30685
79	2671	30723
80	2712	30773
81	2750	30796
82	2790	30831
83	2828	30846
84	2867	30862
85	2902	30848
86	2932	30775
87	2962	30700
88	2991	30616
89	3021	30551
90	3039	30357
91	3067	30271
92	3082	30062
93	3111	29985
94	3135	29871
95	3175	29902
96	3226	30037
97	3272	30121
98	3307	30097
99	3338	30044
100	3367	29974
101	3398	29916
102	3429	29868
103	3463	29842
104	3496	29803
105	3529	29768
106	3564	29745
107	3593	29679
108	3623	29619
109	3654	29566
110	3665	29355
111	3692	29276
112	3720	29207
113	3751	29154
114	3781	29098
115	3810	29039
116	3839	28974
117	3869	28921
118	3898	28863
119	3928	28806
120	3957	28748
121	4004	28819
122	4018	28648
123	4056	28656
124	4096	28675
125	4131	28660
126	4162	28613
127	4191	28557
128	4232	28575
129	4263	28535
130	4293	28483
131	4322	28425
132	4347	28341
133	4376	28280
134	4404	28218
135	4438	28197
136	4476	28201
137	4517	28214
138	4556	28223
139	4595	28228
140	4630	28211
141	4665	28191
142	4706	28205
143	4752	28249
144	4805	28337
145	4852	28382
146	4893	28398
147	4934	28405
148	4969	28383
149	5000	28335
150	5029	28278
151	5058	28220
152	5088	28169
153	5117	28114
154	5149	28071
155	5179	28025
156	5209	27972
157	5250	27978
158	5288	27973
159	5317	27916
160	5346	27862
161	5377	27816
162	5413	27798
163	5457	27821
164	5497	27819
165	5532	27796
166	5563	27750
167	5593	27699
168	5629	27680
169	5659	27631
170	5689	27584
171	5719	27533
172	5748	27480
173	5778	27430
174	5807	27377
175	5838	27335
176	5867	27281
177	5899	27243
178	5937	27233
179	5975	27219
180	6011	27203
181	6047	27181
182	6083	27157
183	6122	27150
184	6160	27138
185	6198	27128
186	6239	27127
187	6286	27152
188	6324	27138
189	6358	27108
190	6390	27066
191	6422	27027
192	6455	26990
193	6485	26946
194	6515	26897
195	6544	26845
196	6576	26807
197	6607	26762
198	6645	26749
199	6681	26724
200	6714	26692
201	6752	26676
202	6788	26652
203	6824	26628
204	6861	26609
205	6894	26573
206	6923	26523
207	6953	26476
208	6982	26426
209	7009	26368
210	7038	26319
211	7068	26274
212	7098	26228
213	7129	26187
214	7160	26143
215	7190	26100
216	7220	26055
217	7250	26007
218	7287	25990
219	7320	25953
220	7352	25917
221	7386	25884
222	7418	25848
223	7451	25812
224	7480	25767
225	7511	25723
226	7542	25683
227	7572	25639
228	7603	25600
229	7632	25551
230	7666	25521
231	7697	25480
232	7726	25433
233	7754	25383
234	7782	25333
235	7810	25284
236	7839	25239
237	7870	25199
238	7902	25163
239	7934	25126
240	7972	25106
241	8011	25093
242	8048	25073
243	8083	25046
