iter	Passed	Remaining
0	17	17494
1	37	18735
2	57	19078
3	65	16186
4	84	16845
5	104	17251
6	125	17813
7	133	16562
8	172	19006
9	203	20170
10	245	22067
11	279	23000
12	320	24313
13	365	25766
14	401	26352
15	413	25415
16	434	25139
17	469	25602
18	511	26428
19	546	26787
20	593	27687
21	621	27617
22	628	26686
23	654	26607
24	674	26323
25	700	26260
26	710	25620
27	719	24978
28	742	24872
29	770	24909
30	793	24790
31	820	24806
32	840	24640
33	864	24559
34	889	24535
35	918	24586
36	943	24565
37	964	24420
38	983	24229
39	1003	24075
40	1021	23898
41	1041	23753
42	1061	23628
43	1082	23509
44	1102	23405
45	1123	23303
46	1145	23234
47	1165	23124
48	1184	22993
49	1212	23029
50	1235	22997
51	1254	22873
52	1272	22745
53	1292	22637
54	1317	22642
55	1336	22534
56	1369	22656
57	1388	22558
58	1402	22364
59	1419	22243
60	1442	22205
61	1462	22132
62	1475	21947
63	1493	21842
64	1512	21760
65	1531	21677
66	1551	21604
67	1570	21519
68	1588	21439
69	1607	21357
70	1626	21281
71	1644	21192
72	1662	21115
73	1683	21070
74	1692	20869
75	1710	20793
76	1729	20731
77	1755	20754
78	1777	20721
79	1797	20675
80	1821	20660
81	1844	20644
82	1864	20598
83	1882	20528
84	1889	20340
85	1906	20266
86	1927	20223
87	1947	20179
88	1967	20142
89	1985	20078
90	2006	20040
91	2024	19978
92	2067	20159
93	2100	20242
94	2138	20376
95	2172	20455
96	2207	20551
97	2238	20606
98	2273	20687
99	2309	20784
100	2338	20811
101	2387	21019
102	2418	21058
103	2449	21102
104	2479	21138
105	2512	21188
106	2544	21232
107	2574	21263
108	2601	21262
109	2622	21215
110	2641	21155
111	2662	21111
112	2684	21072
113	2704	21017
114	2724	20967
115	2745	20922
116	2766	20876
117	2786	20829
118	2805	20771
119	2825	20716
120	2846	20678
121	2874	20689
122	2903	20704
123	2936	20742
124	2969	20787
125	2995	20777
126	3021	20768
127	3045	20750
128	3073	20753
129	3098	20737
130	3124	20725
131	3150	20716
132	3176	20708
133	3200	20685
134	3225	20668
135	3234	20548
136	3255	20505
137	3279	20486
138	3309	20498
139	3335	20489
140	3348	20398
