iter	Passed	Remaining
0	17	17171
1	33	16551
2	51	17239
3	59	14734
4	97	19494
5	114	18953
6	133	18953
7	153	19017
8	160	17720
9	180	17853
10	198	17852
11	218	17975
12	237	18033
13	247	17448
14	265	17412
15	275	16958
16	302	17488
17	331	18090
18	352	18179
19	371	18196
20	390	18187
21	409	18184
22	427	18179
23	447	18191
24	465	18151
25	483	18104
26	503	18127
27	522	18149
28	541	18143
29	560	18138
30	581	18177
31	600	18164
32	619	18140
33	626	17794
34	650	17937
35	675	18078
36	704	18343
37	735	18608
38	766	18879
39	795	19090
40	820	19195
41	853	19461
42	884	19683
43	912	19832
44	944	20051
45	977	20272
46	1008	20444
47	1038	20596
48	1069	20752
49	1220	23190
50	1244	23163
51	1265	23065
52	1284	22947
53	1302	22825
54	1323	22733
55	1344	22661
56	1367	22619
57	1387	22537
58	1408	22462
59	1428	22387
60	1449	22307
61	1469	22224
62	1488	22132
63	1500	21946
64	1518	21849
65	1536	21738
66	1557	21686
67	1579	21648
68	1598	21565
69	1621	21539
70	1640	21459
71	1658	21373
72	1665	21154
73	1684	21075
74	1708	21065
75	1727	21005
76	1746	20937
77	1763	20849
78	1782	20784
79	1802	20726
80	1821	20664
81	1829	20485
82	1848	20417
83	1868	20371
84	1886	20309
85	1910	20300
86	1930	20256
87	1951	20229
88	1973	20201
89	1992	20147
90	2012	20098
91	2031	20045
92	2051	20003
93	2070	19956
94	2089	19903
95	2107	19846
96	2127	19809
97	2146	19761
98	2166	19718
99	2185	19669
100	2204	19620
101	2223	19578
102	2264	19721
103	2277	19623
104	2291	19535
105	2309	19478
106	2327	19426
107	2348	19394
108	2391	19549
109	2409	19498
110	2428	19453
111	2449	19418
112	2467	19371
113	2487	19334
114	2509	19309
115	2533	19304
116	2558	19306
117	2574	19242
118	2597	19229
119	2627	19266
120	2651	19263
121	2677	19266
122	2702	19269
123	2729	19285
124	2773	19417
125	2804	19456
126	2837	19507
127	2864	19511
128	2889	19507
129	2915	19509
130	2938	19491
131	2961	19475
132	2983	19449
133	3008	19440
134	3033	19434
135	3058	19427
136	3101	19535
137	3134	19577
138	3166	19613
139	3200	19661
140	3231	19685
141	3277	19800
142	3312	19854
143	3326	19776
144	3362	19827
145	3393	19850
146	3428	19896
147	3455	19890
148	3478	19865
149	3499	19831
150	3519	19790
151	3538	19743
152	3559	19703
153	3578	19656
154	3597	19611
155	3619	19584
156	3638	19539
157	3658	19494
158	3678	19457
159	3697	19413
160	3719	19380
161	3741	19352
162	3763	19324
163	3783	19284
164	3802	19241
165	3821	19198
166	3840	19157
167	3861	19123
168	3881	19085
169	3902	19052
170	3921	19012
171	3947	19001
172	3978	19018
173	4017	19072
174	4054	19112
175	4102	19207
176	4138	19241
177	4170	19260
178	4206	19294
179	4243	19331
180	4279	19363
181	4343	19522
182	4383	19568
183	4419	19600
184	4468	19685
185	4518	19772
186	4562	19833
187	4603	19882
188	4636	19896
189	4668	19902
190	4699	19904
191	4727	19895
192	4750	19864
193	4770	19819
194	4790	19776
195	4810	19731
196	4830	19691
197	4850	19648
198	4870	19605
199	4891	19566
200	4911	19523
201	4933	19488
202	4955	19454
203	4975	19413
204	4996	19375
205	5017	19337
206	5037	19299
207	5059	19264
208	5078	19221
209	5098	19178
210	5117	19135
211	5137	19095
212	5157	19057
213	5177	19017
214	5197	18978
215	5218	18942
216	5240	18908
217	5260	18869
218	5282	18838
219	5303	18802
220	5349	18855
221	5377	18846
222	5404	18831
223	5425	18794
224	5448	18765
225	5472	18742
226	5503	18739
227	5536	18746
228	5556	18706
229	5577	18673
230	5601	18648
231	5622	18612
232	5646	18585
233	5665	18545
234	5688	18518
235	5710	18485
236	5732	18454
237	5753	18420
238	5773	18382
239	5795	18351
240	5822	18337
241	5848	18319
242	5869	18286
243	5889	18246
244	5913	18222
245	5935	18193
246	5952	18147
247	5973	18113
248	5992	18072
249	6010	18032
250	6033	18004
251	6052	17966
252	6072	17928
253	6093	17896
254	6114	17863
255	6134	17828
256	6152	17786
257	6171	17747
258	6191	17715
259	6210	17677
