iter	Passed	Remaining
0	47	47092
1	84	42145
2	123	40935
3	131	32711
4	174	34740
5	217	36060
6	255	36227
7	288	35817
8	320	35344
9	369	36590
10	415	37374
11	453	37319
12	486	36957
13	514	36259
14	544	35759
15	576	35435
16	605	35020
17	636	34709
18	665	34352
19	693	33992
20	722	33699
21	753	33497
22	787	33440
23	793	32274
24	822	32073
25	851	31905
26	1075	38760
27	1112	38632
28	1143	38297
29	1172	37911
30	1202	37575
31	1229	37200
32	1258	36877
33	1286	36543
34	1315	36271
35	1345	36023
36	1375	35802
37	1409	35687
38	1438	35443
39	1467	35221
40	1497	35032
41	1517	34622
42	1556	34646
43	1589	34539
44	1605	34079
45	1634	33891
46	1662	33714
47	1682	33376
48	1711	33213
49	1734	32952
50	1749	32551
51	1777	32408
52	1806	32278
53	1835	32152
54	1875	32230
55	1916	32311
56	1955	32349
57	1990	32333
58	2024	32295
59	2059	32270
60	2134	32856
61	2177	32944
62	2193	32630
63	2234	32684
64	2248	32346
65	2285	32342
66	2319	32304
67	2349	32206
68	2389	32245
69	2396	31838
70	2407	31498
71	2435	31385
72	2464	31301
73	2491	31174
74	2524	31132
75	2559	31124
76	2595	31112
77	2634	31138
78	2677	31218
79	2717	31249
80	2751	31221
81	2781	31135
82	2810	31047
83	2838	30948
84	2871	30905
85	2901	30841
86	2932	30773
87	2962	30707
88	2975	30457
89	3006	30403
90	3039	30361
91	3070	30308
92	3102	30257
93	3136	30232
94	3212	30600
95	3244	30549
96	3284	30574
97	3323	30587
98	3362	30604
99	3400	30602
100	3445	30665
101	3483	30665
102	3496	30447
103	3535	30462
104	3562	30368
105	3600	30366
106	3643	30405
107	3689	30469
108	3716	30380
109	3756	30391
110	3775	30240
111	3805	30173
112	3834	30102
113	3866	30052
114	3901	30022
115	3931	29959
116	3960	29892
117	3990	29826
118	4019	29755
119	4047	29682
120	4076	29611
121	4104	29537
122	4134	29477
123	4164	29422
124	4195	29371
125	4268	29608
126	4299	29553
127	4327	29479
128	4358	29430
129	4387	29363
130	4418	29308
131	4451	29271
132	4483	29226
133	4513	29170
134	4544	29115
135	4575	29067
136	4604	29004
137	4632	28938
138	4661	28873
139	4696	28848
140	4733	28839
141	4766	28800
142	4797	28753
143	4829	28711
144	4860	28658
145	4893	28622
146	4924	28574
147	4954	28522
148	4983	28462
149	5011	28395
150	5040	28338
151	5068	28279
152	5098	28222
153	5129	28177
154	5162	28145
155	5199	28130
156	5233	28099
157	5303	28262
158	5334	28216
159	5373	28209
160	5412	28203
161	5448	28185
162	5484	28163
163	5523	28155
164	5560	28137
165	5597	28120
166	5637	28122
167	5675	28107
168	5714	28100
169	5756	28104
170	5798	28109
171	5833	28084
172	5864	28036
173	5897	27996
174	5926	27938
175	5955	27881
176	5986	27834
177	6015	27781
178	6044	27723
